ID,GROUP_ID,DISPLAY_NAME,SLUG,ABBREVIATION,SHORT_NAME,TEAM_NAME,WINS,LOSSES,STANDING,STREAK,GB
2641,8,Texas Tech Red Raiders,texas_tech_red_raiders,TTU,Texas Tech,Red Raiders,18.0,7.0,6.0,-1.0,4.0
2305,8,Kansas Jayhawks,kansas_jayhawks,KU,Kansas,Jayhawks,20.0,6.0,4.0,1.0,2.5
239,8,Baylor Bears,baylor_bears,BAY,Baylor,Bears,19.0,6.0,3.0,2.0,3.0
248,8,Houston Cougars,houston_cougars,HOU,Houston,Cougars,22.0,3.0,2.0,3.0,0.0
66,8,Iowa State Cyclones,iowa_state_cyclones,ISU,Iowa State,Cyclones,20.0,5.0,1.0,4.0,2.0
305,4,DePaul Blue Demons,depaul_blue_demons,DEP,DePaul,Blue Demons,3.0,22.0,11.0,-13.0,20.5
46,4,Georgetown Hoyas,georgetown_hoyas,GTWN,Georgetown,Hoyas,8.0,17.0,10.0,-10.0,15.5
2599,4,St. John's Red Storm,st._john's_red_storm,SJU,St John's,Red Storm,14.0,12.0,9.0,-3.0,10.0
2086,4,Butler Bulldogs,butler_bulldogs,BUT,Butler,Bulldogs,16.0,10.0,8.0,-2.0,8.0
222,4,Villanova Wildcats,villanova_wildcats,VILL,Villanova,Wildcats,14.0,11.0,6.0,2.0,9.5
2752,4,Xavier Musketeers,xavier_musketeers,XAV,Xavier,Musketeers,13.0,12.0,7.0,-2.0,10.5
2507,4,Providence Friars,providence_friars,PROV,Providence,Friars,17.0,9.0,5.0,2.0,7.0
156,4,Creighton Bluejays,creighton_bluejays,CREI,Creighton,Bluejays,19.0,7.0,3.0,3.0,5.0
2550,4,Seton Hall Pirates,seton_hall_pirates,HALL,Seton Hall,Pirates,17.0,9.0,4.0,2.0,7.0
269,4,Marquette Golden Eagles,marquette_golden_eagles,MARQ,Marquette,Golden Eagles,19.0,6.0,2.0,-1.0,4.5
41,4,UConn Huskies,uconn_huskies,CONN,UConn,Huskies,24.0,2.0,1.0,14.0,0.0
16,5,Sacramento State Hornets,sacramento_state_hornets,SAC,Sacramento St,Hornets,6.0,21.0,10.0,-10.0,12.0
70,5,Idaho Vandals,idaho_vandals,IDHO,Idaho,Vandals,10.0,16.0,9.0,1.0,7.5
2464,5,Northern Arizona Lumberjacks,northern_arizona_lumberjacks,NAU,N Arizona,Lumberjacks,12.0,15.0,8.0,-1.0,6.0
304,5,Idaho State Bengals,idaho_state_bengals,IDST,Idaho St,Bengals,11.0,16.0,7.0,-2.0,7.0
147,5,Montana State Bobcats,montana_state_bobcats,MTST,Montana St,Bobcats,11.0,15.0,6.0,-4.0,6.5
2502,5,Portland State Vikings,portland_state_vikings,PRST,Portland St,Vikings,16.0,11.0,5.0,2.0,2.0
149,5,Montana Grizzlies,montana_grizzlies,MONT,Montana,Grizzlies,17.0,9.0,4.0,1.0,0.5
2692,5,Weber State Wildcats,weber_state_wildcats,WEB,Weber St,Wildcats,18.0,9.0,3.0,6.0,0.0
2458,5,Northern Colorado Bears,northern_colorado_bears,UNCO,N Colorado,Bears,16.0,10.0,2.0,1.0,1.5
331,5,Eastern Washington Eagles,eastern_washington_eagles,EWU,E Washington,Eagles,17.0,9.0,1.0,-1.0,0.5
2515,6,Radford Highlanders,radford_highlanders,RAD,Radford,Highlanders,13.0,14.0,9.0,-5.0,8.5
2506,6,Presbyterian Blue Hose,presbyterian_blue_hose,PRES,Presbyterian,Blue Hose,12.0,16.0,7.0,-2.0,10.0
2908,6,South Carolina Upstate Spartans,south_carolina_upstate_spartans,UPST,SC Upstate,Spartans,9.0,17.0,8.0,-1.0,12.0
2344,6,Longwood Lancers,longwood_lancers,LONG,Longwood,Lancers,16.0,11.0,5.0,2.0,5.5
2127,6,Charleston Southern Buccaneers,charleston_southern_buccaneers,CHSO,Charleston So,Buccaneers,8.0,17.0,6.0,-3.0,12.5
2737,6,Winthrop Eagles,winthrop_eagles,WIN,Winthrop,Eagles,16.0,11.0,4.0,1.0,5.5
2241,6,Gardner-Webb Runnin' Bulldogs,gardner-webb_runnin'_bulldogs,GWEB,Gardner-Webb,Runnin' Bulldogs,13.0,14.0,3.0,2.0,8.5
2272,6,High Point Panthers,high_point_panthers,HPU,High Point,Panthers,22.0,6.0,1.0,1.0,0.0
2427,6,UNC Asheville Bulldogs,unc_asheville_bulldogs,UNCA,UNC Asheville,Bulldogs,19.0,9.0,2.0,5.0,3.0
130,7,Michigan Wolverines,michigan_wolverines,MICH,Michigan,Wolverines,8.0,18.0,14.0,-3.0,15.0
194,7,Ohio State Buckeyes,ohio_state_buckeyes,OSU,Ohio State,Buckeyes,15.0,11.0,13.0,1.0,8.0
120,7,Maryland Terrapins,maryland_terrapins,MD,Maryland,Terrapins,14.0,12.0,11.0,-1.0,9.0
213,7,Penn State Nittany Lions,penn_state_nittany_lions,PSU,Penn State,Nittany Lions,12.0,14.0,12.0,-3.0,11.0
164,7,Rutgers Scarlet Knights,rutgers_scarlet_knights,RUTG,Rutgers,Scarlet Knights,14.0,11.0,9.0,-1.0,8.5
84,7,Indiana Hoosiers,indiana_hoosiers,IU,Indiana,Hoosiers,14.0,11.0,10.0,-2.0,8.5
2294,7,Iowa Hawkeyes,iowa_hawkeyes,IOWA,Iowa,Hawkeyes,15.0,11.0,8.0,1.0,8.0
135,7,Minnesota Golden Gophers,minnesota_golden_gophers,MINN,Minnesota,Golden Gophers,16.0,9.0,7.0,1.0,6.5
158,7,Nebraska Cornhuskers,nebraska_cornhuskers,NEB,Nebraska,Cornhuskers,18.0,8.0,6.0,2.0,5.0
77,7,Northwestern Wildcats,northwestern_wildcats,NU,Northwestern,Wildcats,18.0,8.0,4.0,1.0,5.0
275,7,Wisconsin Badgers,wisconsin_badgers,WIS,Wisconsin,Badgers,17.0,9.0,3.0,-1.0,6.0
127,7,Michigan State Spartans,michigan_state_spartans,MSU,Michigan St,Spartans,17.0,9.0,5.0,3.0,6.0
