ID,NAME,GP,W,L,PTS,AST,REB,OREB,DREB,FG%,FGM,FGA,2P%,2PM,2PA,3P%,3PM,3PA,FT%,FTM,FTA,BLK,STL,TO,AST/TO,PF,SC-EFF,SH-EFF
45,George Washington Revolutionaries,21.0,14,8,79.90476,12.571428,39.57143,9.571428,30.0,44.65261399745941,16.619047,22.142857,50.194549560546875,387.0,771.0,36.274510622024536,8.809524,24.285715,75.0537633895874,16.619047,22.142857,5.4761906,6.285714,13.666667,0.9198606,14.238095,1.3099141,0.51873535
2184,Duquesne Dukes,21.0,13,8,72.61905,13.142858,36.190475,11.619047,24.571428,43.031784892082214,14.380953,20.571428,49.86187815666199,361.0,724.0,33.20079445838928,7.952381,23.952381,69.90740895271301,14.380953,20.571428,4.5238094,7.571429,11.904762,1.104,18.0,1.2428688,0.49837002
2230,Fordham Rams,22.0,10,13,73.59091,13.363636,38.0,13.136364,24.863636,41.14158749580383,15.136364,23.227272,47.61306643486023,379.0,796.0,31.826400756835938,8.0,25.136364,65.16634225845337,15.136364,23.227272,5.0,8.590909,13.181818,1.0137931,20.272728,1.2001482,0.47664937
2244,George Mason Patriots,22.0,15,7,73.454544,11.909091,36.863636,10.227273,26.636364,46.26129865646362,15.136364,20.272728,52.79583930969238,406.0,769.0,35.04464328289032,7.1363635,20.363636,74.66367483139038,15.136364,20.272728,3.3636363,5.590909,11.318182,1.0522088,16.363636,1.3278553,0.5271159
179,St. Bonaventure Bonnies,21.0,13,8,73.666664,12.809524,33.857143,10.571428,23.285715,45.51386535167694,12.523809,16.0,51.31579041481018,390.0,760.0,36.05150282382965,8.0,22.190475,78.27380895614624,12.523809,16.0,3.8095238,6.5238094,10.571428,1.2117118,16.809525,1.2618271,0.52365416
2603,Saint Joseph's Hawks,22.0,15,8,77.86364,15.136364,37.0,10.181818,26.818182,45.668694376945496,12.772727,17.454546,52.924394607543945,371.0,701.0,37.39837408065796,10.454545,27.954546,73.17708134651184,12.772727,17.454546,3.7272727,6.909091,11.409091,1.3266932,15.545455,1.3016717,0.5440729
227,Rhode Island Rams,22.0,11,12,73.27273,13.181818,37.954544,10.909091,27.045454,46.68820798397064,14.136364,22.545454,51.67064666748047,433.0,838.0,36.250001192092896,6.590909,18.181818,62.70161271095276,14.136364,22.545454,3.0454545,4.6363635,12.772727,1.0320284,17.045454,1.3021002,0.52544427
113,Massachusetts Minutemen,21.0,14,7,80.61905,16.380953,38.904762,14.0,24.904762,45.950037240982056,16.333334,23.380953,52.980875968933105,471.0,889.0,31.481480598449707,6.4761906,20.571428,69.85743641853333,16.333334,23.380953,3.1904762,8.523809,11.190476,1.4638298,19.52381,1.2816049,0.51097655
2670,VCU Rams,22.0,15,8,72.318184,14.045455,36.0,9.272727,26.727272,44.546979665756226,15.636364,20.0,51.10782980918884,346.0,677.0,35.92233061790466,8.409091,23.40909,78.18182110786438,15.636364,20.0,4.6363635,6.0454545,12.454545,1.1277373,16.818182,1.3347316,0.52307045
2350,Loyola Chicago Ramblers,22.0,15,7,73.40909,16.818182,36.5,8.409091,28.09091,46.19695842266083,12.681818,18.5,53.30634117126465,395.0,741.0,35.82677245140076,8.272727,23.09091,68.55036616325378,12.681818,18.5,4.9545455,6.590909,13.181818,1.2758621,19.09091,1.2930344,0.5348279
257,Richmond Spiders,22.0,16,6,72.40909,13.0,33.909092,5.909091,28.0,46.081504225730896,11.363636,15.5,51.71990394592285,421.0,814.0,36.147186160087585,7.590909,21.0,73.3137845993042,11.363636,15.5,2.909091,7.0454545,8.727273,1.4895834,14.045455,1.2484326,0.52625394
2168,Dayton Flyers,21.0,19,3,74.09524,14.857142,34.42857,8.619047,25.809525,47.16981053352356,14.666667,19.761906,53.606557846069336,327.0,610.0,39.36381638050079,9.428572,23.952381,74.2168664932251,14.666667,19.761906,4.428571,5.428571,9.809524,1.5145631,13.333333,1.3980234,0.5606469
97,Louisville Cardinals,22.0,7,15,72.818184,10.818182,35.18182,10.545455,24.636364,43.423137068748474,17.545454,23.545454,49.082568287849426,428.0,872.0,30.769231915473938,5.4545455,17.727272,74.51737523078918,17.545454,23.545454,2.5454545,5.4545455,12.727273,0.85,17.227272,1.2694136,0.48177496
87,Notre Dame Fighting Irish,22.0,7,15,61.909092,9.636364,36.5,10.0,26.5,40.0994211435318,10.590909,14.636364,47.78106510639191,323.0,676.0,30.320149660110474,7.318182,24.136364,72.36024737358093,10.590909,14.636364,2.590909,5.9545455,13.681818,0.70431894,14.909091,1.1284176,0.46768847
59,Georgia Tech Yellow Jackets,22.0,10,13,72.954544,13.136364,38.636364,12.227273,26.40909,42.62295067310333,12.818182,18.818182,49.06367063522339,393.0,801.0,33.08687508106232,8.136364,24.59091,68.11594367027283,12.818182,18.818182,4.5454545,4.5454545,12.181818,1.0783582,17.272728,1.1959761,0.49292102
103,Boston College Eagles,21.0,13,9,76.38095,13.857142,34.761906,9.238095,25.52381,46.48221433162689,12.571428,16.904762,52.08845138549805,424.0,814.0,36.36363744735718,7.8095236,21.47619,74.36619997024536,12.571428,16.904762,3.7142856,6.285714,10.380953,1.3348624,15.809524,1.2679842,0.52964425
228,Clemson Tigers,21.0,15,7,79.0,15.285714,37.47619,10.142858,27.333334,46.90966606140137,14.428572,18.428572,54.40414547920227,420.0,772.0,35.10203957557678,8.190476,23.333334,78.29457521438599,14.428572,18.428572,4.428571,4.6666665,10.190476,1.5,16.190475,1.3145801,0.5372425
183,Syracuse Orange,22.0,14,8,75.13636,13.727273,36.045456,9.818182,26.227272,44.24647390842438,14.090909,19.727272,50.62571167945862,445.0,879.0,32.26495683193207,6.8636365,21.272728,71.42857313156128,14.090909,19.727272,4.5,9.090909,12.090909,1.1353383,15.727273,1.2271715,0.49851522
221,Pittsburgh Panthers,22.0,14,8,75.63636,13.818182,38.5,12.136364,26.363636,43.166542053222656,13.772727,20.0,50.337380170822144,373.0,741.0,34.280937910079956,9.318182,27.181818,68.86363625526428,13.772727,20.0,5.0454545,6.681818,9.863636,1.4009217,15.272727,1.2427185,0.50821507
