ID,GP,PTS,REB,AST,STL,BLK,TO,FG%,3P%,FT%,FGM,FGA,3PM,3PA,FTM,FTA,OR,DR,OR%,TO%,AST/TO,PF,SC_EFF,SH_EFF,FT_RATE,PACE,OPP_PTS,OPP_REB,OPP_AST,OPP_STL,OPP_BLK,OPP_TO,OPP_FG%,OPP_3P%,OPP_FT%,OPP_FGM,OPP_FGA,OPP_3PM,OPP_3PA,OPP_FTM,OPP_FTA,OPP_OR,OPP_DR,OPP_OR%,OPP_TO%,OPP_AST/TO,OPP_PF,OPP_SC_EFF,OPP_SH_EFF,OPP_FT_RATE,OFF_EFF,DEF_EFF,NET_RTG,EFF_FG%,4FAC,OPP_EFF_FG%
288,27.0,81.666664,33.333332,14.333333,5.962963,3.4074075,10.259259,48.90109896659851,36.60714328289032,76.11940503120422,29.666666,60.666668,9.111111,24.88889,13.222222,17.37037,7.7777777,25.555555,0.25089607,0.1305766064165514,1.3971119,13.0,1.3461539,0.5641026,0.28632477392692807,977.5086308089448,76.92593,35.074074,12.296296,5.037037,3.6666667,11.518518,45.86510360240936,35.23956835269928,71.96969985961914,28.962963,63.148148,8.444445,23.962963,10.555555,14.666667,10.259259,24.814816,0.30010834,0.14199356599897256,1.0675241,15.925926,1.2181818,0.5255132,0.23225807033960838,8.354572167042262,7.869590873723473,0.48498129331878914,0.5641025397999441,0.35141309761315476,0.5255132026991511
156,25.0,81.24,38.76,17.12,3.64,3.88,10.68,48.80794584751129,36.2892210483551,76.98412537574768,29.48,60.4,10.64,29.32,11.64,15.12,8.4,30.36,0.27166882,0.13739373855052178,1.6029962,11.36,1.3450332,0.57615894,0.2503311258278146,1116.639492462411,69.76,33.88,10.96,6.4,2.8,7.68,41.47217273712158,33.03571343421936,76.92307829856873,27.72,66.84,5.92,17.92,8.4,10.92,10.0,23.88,0.25562373,0.09681713663318406,1.4270834,14.92,1.0436864,0.45900658,0.16337522441651706,7.275400928266447,6.247316208220918,1.0280847200455288,0.5761589403973509,0.356695443670743,0.45900658288450025
328,25.0,81.08,37.0,17.0,7.0,4.32,11.4,49.79674816131592,32.700422406196594,72.826087474823,29.4,59.04,6.2,18.96,16.08,22.08,10.12,26.88,0.3414305,0.14222408527456734,1.4912281,17.32,1.3733063,0.5504742,0.37398373983739835,884.3000718698355,69.28,31.72,12.0,6.6,2.48,12.48,42.827585339546204,28.625234961509705,72.37687110900879,24.84,58.0,6.08,21.24,13.52,18.68,8.8,22.92,0.26537997,0.15857848618537418,0.96153843,18.36,1.1944828,0.48068964,0.3220689655172414,9.168833360892744,7.834444687255172,1.334388673637572,0.5504742547425474,0.38012938419127057,0.4806896551724138
2870,26.0,81.07692,31.653847,13.076923,9.807693,3.3461537,10.615385,46.966853737831116,36.082473397254944,69.69112157821655,28.884615,61.5,9.423077,26.115385,13.884615,19.923077,8.230769,23.423077,0.2523585,0.13124608095982854,1.231884,17.615385,1.318324,0.54627895,0.32395247154471546,875.6112254154882,71.19231,37.846153,12.807693,5.576923,2.8461537,17.26923,44.34840381145477,30.95238208770752,70.87576389312744,25.653847,57.846153,6.5,21.0,13.384615,18.884615,10.423077,27.423077,0.32377538,0.20700401541925756,0.7416481,17.23077,1.2307181,0.49966756,0.3264627640838968,9.259465576349598,8.130584434458155,1.1288811418914424,0.546278918699187,0.3503876584513393,0.4996675751281161
264,25.0,80.92,36.12,14.6,5.76,4.12,11.92,47.594279050827026,34.24908518791199,72.7984368801117,29.28,61.52,7.48,21.84,14.88,20.44,9.56,26.56,0.29652604,0.1446012305661769,1.2248322,18.84,1.3153446,0.536736,0.33224967490247076,995.2898149304132,76.24,35.28,13.64,6.28,3.32,11.92,43.92764866352081,33.57933461666107,69.33333277702332,27.2,61.92,7.28,21.68,14.56,21.0,10.8,24.48,0.31105992,0.14347616754935003,1.1442953,18.8,1.2312661,0.498062,0.3391472868217054,8.130295195039007,7.660080396314554,0.47021479872445315,0.5367360208062419,0.3599873751994116,0.49806201550387597
2649,25.0,80.84,33.6,13.08,7.32,2.2,10.72,48.11881184577942,37.55980730056763,76.17260813713074,29.16,60.6,6.28,16.72,16.24,21.32,10.04,23.56,0.3193384,0.13283635354296364,1.2201493,15.44,1.3339934,0.5330033,0.35181518151815183,890.35078711773,77.64,33.16,14.0,6.2,4.04,13.16,49.16276037693024,35.20871102809906,72.27979302406311,29.36,59.72,7.76,22.04,11.16,15.44,9.16,24.0,0.30171278,0.16517390955096797,1.0638298,18.0,1.300067,0.5565975,0.25853985264567986,9.079567421027129,8.720158517671278,0.35940890335585074,0.533003300330033,0.3630503657454769,0.5565974547890155
232,26.0,80.76923,40.5,14.653846,5.5,2.8461537,10.0,43.63636374473572,32.72727131843567,72.00000286102295,28.615385,65.57692,10.384615,31.73077,13.153846,18.26923,13.5,27.0,0.36524454,0.11959522107638253,1.4653846,15.961538,1.2316716,0.5155425,0.2785923767081467,958.794673312358,74.57692,36.076923,11.961538,6.269231,3.5,11.269231,44.569289684295654,34.020617604255676,69.71046924591064,27.461538,61.615383,7.6153846,22.384615,12.038462,17.26923,9.730769,26.346153,0.2849099,0.14001988582066505,1.0614334,16.884615,1.2103621,0.50749063,0.28027465154278114,8.424038248039665,7.7781950688522645,0.6458431791874002,0.515542549116366,0.35095358942186405,0.5074906423936373
350,25.0,80.76,35.84,12.72,6.12,2.48,8.64,46.32546007633209,35.655057430267334,75.67567825317383,28.24,60.96,8.6,24.12,15.68,20.72,10.8,25.04,0.33007336,0.1097605593723322,1.4722222,17.36,1.3248031,0.5337927,0.33989501312335957,845.1021164625848,70.4,34.72,11.08,4.0,2.84,12.08,43.871867656707764,34.33962166309357,69.28104758262634,25.2,57.44,7.28,21.2,12.72,18.36,10.24,24.48,0.31761786,0.15567331285181138,0.91721857,18.24,1.2256267,0.50208914,0.31963788300835655,9.556241598121176,8.330354241056598,1.2258873570645772,0.5337926509186351,0.35795612417904105,0.5020891364902507
2253,25.0,80.72,39.36,12.36,8.6,5.32,12.92,46.70329689979553,34.62282419204712,74.61059093475342,27.2,58.24,7.16,20.68,19.16,25.68,12.44,26.92,0.4007732,0.15668354774239865,0.95665634,17.68,1.3859891,0.52850276,0.4409340659340659,895.1041353323309,67.28,32.36,11.36,6.28,2.76,14.24,40.93087017536163,31.77189528942108,70.21276354789734,23.92,58.44,6.24,19.64,13.2,18.8,10.52,21.84,0.30475086,0.17590671014922424,0.7977528,20.32,1.1512662,0.4626968,0.3216974674880219,9.017945154507702,7.516443880020791,1.5015012744869107,0.5285027472527473,0.3968667357268085,0.4626967830253252
2029,24.0,80.708336,34.166668,15.416667,6.2083335,2.375,13.5,45.20936906337738,37.168142199516296,75.83025693893433,26.541666,58.708332,10.5,28.25,17.125,22.583334,8.458333,25.708334,0.26295337,0.1643435409448814,1.1419753,18.916666,1.3747338,0.5415188,0.38466999880017033,1077.8660255528214,82.875,38.0,17.5,7.2083335,3.4583333,12.125,46.387097239494324,31.551724672317505,70.63339948654175,29.958334,64.583336,7.625,24.166666,15.333333,21.708334,12.0,26.0,0.3465704,0.14056340811421644,1.4432989,18.375,1.2832258,0.5229032,0.33612902870176914,7.487789213748147,7.688803435240911,-0.2010142214927635,0.5415188086079502,0.367984582499426,0.5229032145381899
